game_id,team_id,opportunity_diff,ppp,opp_ppp,conversion_score
0022501209,1610612766,2.04,1.46,1.67,45.5
0022501217,1610612755,3.52,1.21,1.32,70.6
0022501218,1610612739,4.52,1.25,1.28,41.1
0022501224,1610612742,2.52,1.33,1.53,45.0
0022501227,1610612748,3.16,1.17,1.43,30.0
0022500368,1610612750,6.88,1.34,1.49,60.0
0022500371,1610612737,5.2,1.52,1.56,41.2
0022500372,1610612754,2.56,1.3,1.42,37.3
0022500376,1610612765,2.96,1.46,1.32,52.4
0022500377,1610612753,15.84,1.41,1.46,61.0
0022500381,1610612748,14.0,1.4,1.6,67.4
0022500386,1610612743,9.0,1.31,1.4,48.7
0022500389,1610612754,5.24,1.58,1.71,30.0
0022500392,1610612756,4.0,1.37,1.48,37.2
0022500393,1610612762,2.68,1.56,1.43,53.2
0022500394,1610612758,10.64,1.17,1.09,50.0
0022500395,1610612747,8.32,1.14,1.36,75.5
0022500398,1610612748,17.16,1.68,1.51,74.8
0022500403,1610612754,2.56,1.15,1.33,38.2
0022500410,1610612755,2.2,1.24,1.36,30.0
0022500412,1610612740,2.16,1.48,2.05,30.0
0022500413,1610612754,7.96,1.33,1.43,34.9
0022500414,1610612748,2.88,1.27,1.44,38.5
0022500418,1610612747,3.96,1.46,1.89,60.0
0022500419,1610612762,13.08,1.67,1.54,50.0
0022500421,1610612758,5.96,1.56,1.67,70.0
0022500010,1610612760,9.76,1.57,1.74,96.2
0022500013,1610612750,2.12,1.45,1.34,58.3
0022500425,1610612761,10.96,1.46,1.79,66.3
0022500427,1610612755,6.56,1.21,1.7,77.5
0022500429,1610612740,12.48,1.51,1.42,37.5
0022500434,1610612740,13.16,1.43,1.49,54.5
0022500439,1610612750,7.08,1.38,1.86,55.0
0022500440,1610612759,2.8,1.4,1.68,53.6
0022500445,1610612765,2.56,1.59,1.29,54.5
0022500454,1610612740,2.52,1.42,1.62,52.9
0022500456,1610612759,3.04,1.14,1.33,30.0
0022500462,1610612766,8.0,1.43,1.96,33.2
